X,Y,Linha
205022.524807077,7230431.831969485,18662075
205023.101744238,7230431.666352883,18662075
205023.680275148,7230431.500278777,18662075
205023.088992182,7230430.241745827,18662075
205023.668788184,7230430.075575188,18662075
205024.246986951,7230429.90986232,18662075
205023.668964357,7230428.657626355,18662075
205024.249883868,7230428.492036363,18662075
205024.829207447,7230428.326901289,18662075
205024.236026731,7230427.083563234,18662075
205024.808615544,7230426.920888763,18662075
205025.385989221,7230426.756854895,18662075
205024.894040021,7230425.481985108,18662075
205025.41126978,7230425.33538397,18662075
205025.990951429,7230425.171081767,18662075
205025.511733439,7230423.896456262,18662075
205026.03098284,7230423.749767532,18662075
205026.612734485,7230423.585421825,18662075
205026.100727007,7230422.325766889,18662075
205026.615743291,7230422.180619093,18662075
205026.42554644,7230420.756179085,18662075
205026.717883798,7230420.763876692,18662075
205027.227009588,7230420.621500878,18662075
205027.807955631,7230420.459040701,18662075
205027.368670839,7230419.200486569,18662075
205027.936979197,7230419.042030301,18662075
205027.424697238,7230417.802365479,18662075
205028.001727441,7230417.641270433,18662075
205028.573988799,7230417.48150675,18662075
205028.375014624,7230416.155938402,18662075
205028.948901733,7230415.995834051,18662075
205029.521199127,7230415.836173202,18662075
205029.097119044,7230414.601567636,18662075
205029.608695425,7230414.460367776,18662075
205029.199401573,7230413.22717829,18662075
205029.711553364,7230413.086470839,18662075
205030.285163369,7230412.928878494,18662075
205029.837577978,7230411.692517576,18662075
205030.412289815,7230411.533673383,18662075
205030.923846506,7230411.392284596,18662075
205030.515699405,7230410.157823514,18662075
205031.080768313,7230410.002284952,18662075
205031.590746939,7230409.861910316,18662075
205031.161914662,7230408.647744603,18662075
205031.727257612,7230408.493336724,18662075
205032.245488649,7230408.351796167,18662075
205031.832337048,7230407.140121173,18662075
205032.398033349,7230406.986224506,18662075
205032.897914569,7230406.850232715,18662075
205032.474211742,7230405.640020403,18662075
205033.043265101,7230405.485251988,18662075
205033.549612856,7230405.347537944,18662075
205033.189192529,7230404.129042998,18662075
205033.759956804,7230403.97468039,18662075
205033.638171064,7230402.666066728,18662075
205033.894637911,7230402.625381696,18662075
205034.46170435,7230402.472695904,18662075
205034.43556766,7230401.181214228,18662075
205034.622286502,7230401.131371566,18662075
205035.18558116,7230400.981005886,18662075
205035.138113076,7230399.696960228,18662075
205035.331079849,7230399.645564562,18662075
205035.894291813,7230399.49555607,18662075
205035.842373411,7230398.211310945,18662075
205036.413328008,7230398.059142407,18662075
205036.915266116,7230397.925367869,18662075
205036.557795817,7230396.727640945,18662075
205037.128498728,7230396.575941492,18662075
205037.638054898,7230396.440495552,18662075
205037.310639812,7230395.243058867,18662075
205037.878132307,7230395.093036242,18662075
205038.382918449,7230394.959590702,18662075
205038.063400616,7230393.762787364,18662075
